Name;Epithet(s),;Description;References
Zoth-Ommog;The Dweller in the Depths;A gigantic entity with a cone-shaped body, a reptilian head, a beard of tentacles, and starfish-like arms.;HG, OA, TC
Zstylzhemghi;Matriarch of Swarms,;Spawn of the Outer God Ycnàgnnisssz, described as a living alien swarm. She also has a sister named Klosmiebhyx.;OO, PN, TA, ZY
;Zystulzhemgni;;
Zushakon;Dark Silent One,;Appears as a swirling, black vortex, revered by the Mutsune Native Americans as a dire death god. He is also worshiped by mysterious servitors known as the Hidden Ones.[86];BH, DN, EB, KD
;Old Night,;;
;Zul-Che-Quon,;;
;Zuchequon;;
Z'toggua[87];—;An obese bat-winged humanoid with a long polypous snout and a wide mouth, opening in the belly, served by the Deep Ones.;CG8, SY6, ZG
Zvilpogghua;Feaster from the Stars,;A bat-winged, armless toad with tentacles instead of a face.;LT, RM, SV
;The Sky-Devil,;;
;Ossadagowah;;
